resume_text,jd_text,score
Resume skills: ml python react deep learning data cleaning,Job requires: docker css data analysis ml azure c++ power bi pandas machine learning,62
Resume skills: excel azure docker python git,Job requires: data analysis power bi azure numpy c++,49
Resume skills: git deep learning ml power bi pandas excel python,Job requires: node css python data cleaning sql git c++ react docker,74
Resume skills: docker data analysis deep learning power bi git javascript,Job requires: python java css html node react pandas docker git ml,66
Resume skills: git javascript pandas azure machine learning html,Job requires: c++ javascript sql react machine learning aws,63
Resume skills: azure data analysis aws git power bi javascript sql,Job requires: html excel azure python sql css javascript,38
Resume skills: docker azure ml react excel css git,Job requires: azure numpy aws docker data cleaning sql ml html,48
Resume skills: azure excel ml html python deep learning git data cleaning machine learning javascript,Job requires: sql html power bi excel react data cleaning ml css pandas javascript,88
Resume skills: power bi react excel git css python html java data analysis,Job requires: javascript aws css sql deep learning html data analysis,93
Resume skills: numpy css javascript data analysis pandas azure java power bi python excel,Job requires: node docker javascript machine learning html deep learning css java,70
Resume skills: numpy pandas node css javascript c++ sql,Job requires: data analysis power bi java deep learning html react excel javascript machine learning,59
Resume skills: node docker c++ python data analysis css git,Job requires: azure pandas excel html css git node,83
Resume skills: power bi docker numpy excel git sql machine learning ml data analysis,Job requires: git data cleaning pandas numpy excel sql node c++ data analysis ml,41
Resume skills: sql ml python pandas git data analysis numpy java c++ aws,Job requires: python pandas machine learning sql azure ml html data analysis,44
Resume skills: css javascript data analysis react power bi java,Job requires: deep learning docker numpy python node power bi,68
Resume skills: react power bi sql pandas html javascript python numpy data cleaning azure,Job requires: ml javascript java docker sql machine learning c++ deep learning aws,95
Resume skills: numpy data analysis css docker excel ml aws power bi python java,Job requires: machine learning excel numpy python react,39
Resume skills: deep learning react node sql css git python excel ml html,Job requires: numpy node ml data analysis power bi deep learning css git aws,40
Resume skills: git numpy deep learning power bi node javascript c++ docker machine learning html,Job requires: node html python java pandas power bi c++ docker ml,87
Resume skills: power bi azure c++ javascript python git machine learning html data cleaning sql,Job requires: excel react html data cleaning python data analysis docker,44
Resume skills: power bi docker azure javascript sql,Job requires: aws numpy pandas azure css java data cleaning data analysis docker react,40
Resume skills: git data analysis sql power bi java ml aws,Job requires: excel sql pandas python javascript data cleaning azure,68
Resume skills: python data cleaning excel c++ ml node azure deep learning,Job requires: data analysis deep learning ml git machine learning docker javascript,32
Resume skills: deep learning data analysis java html node data cleaning ml power bi,Job requires: power bi ml data analysis git machine learning numpy c++ node,34
Resume skills: numpy data cleaning excel power bi css pandas machine learning html react python,Job requires: data analysis power bi machine learning javascript sql python,87
Resume skills: machine learning ml python docker azure html data analysis node pandas,Job requires: java excel deep learning numpy css aws data cleaning node power bi,68
Resume skills: java sql azure c++ react data cleaning docker,Job requires: sql java html pandas react machine learning aws power bi,39
Resume skills: power bi data analysis react deep learning java machine learning css node c++,Job requires: azure docker data analysis node css git,56
Resume skills: numpy data analysis ml data cleaning python docker css javascript java,Job requires: javascript c++ java azure node,44
Resume skills: c++ git java pandas aws data cleaning excel azure,Job requires: data cleaning python data analysis react ml sql,84
Resume skills: sql react deep learning docker html python power bi git aws java,Job requires: html data cleaning numpy pandas node sql docker python excel,69
Resume skills: aws sql java data cleaning html python node power bi,Job requires: aws machine learning sql ml css docker html,35
Resume skills: numpy c++ python data analysis node ml,Job requires: aws data analysis html node javascript sql pandas excel machine learning,83
Resume skills: excel c++ deep learning sql git javascript java css,Job requires: data cleaning docker excel ml html aws css azure,87
Resume skills: deep learning css power bi numpy data analysis azure sql docker pandas,Job requires: java git machine learning power bi pandas azure python javascript,43
Resume skills: aws c++ numpy data analysis azure deep learning ml git,Job requires: java sql pandas machine learning excel html,52
Resume skills: react python aws machine learning power bi node deep learning pandas,Job requires: excel numpy javascript deep learning data cleaning data analysis docker machine learning git,94
Resume skills: ml node python data cleaning excel,Job requires: excel docker git deep learning data analysis azure html c++,80
Resume skills: ml azure data cleaning excel power bi html deep learning machine learning react,Job requires: data analysis react c++ css java pandas html,90
Resume skills: numpy machine learning power bi java ml data cleaning javascript azure docker node,Job requires: ml sql deep learning css react machine learning,68
Resume skills: aws data cleaning git power bi pandas data analysis excel azure sql ml,Job requires: azure javascript deep learning sql git java,42
Resume skills: pandas data cleaning c++ docker machine learning power bi,Job requires: machine learning c++ css power bi sql html node,47
Resume skills: c++ java data analysis excel react docker css,Job requires: html node python react javascript sql git java ml pandas,72
Resume skills: java html react aws ml pandas deep learning data cleaning css docker,Job requires: c++ numpy javascript react machine learning,84
Resume skills: data analysis java aws docker numpy machine learning data cleaning,Job requires: ml machine learning power bi python deep learning docker numpy,30
Resume skills: aws git data analysis numpy sql react deep learning,Job requires: node docker numpy c++ machine learning ml sql power bi python,63
Resume skills: data analysis ml power bi html python javascript deep learning numpy react aws,Job requires: html c++ data analysis azure data cleaning,95
Resume skills: deep learning css ml excel c++ azure,Job requires: aws javascript data cleaning power bi css c++,86
Resume skills: azure ml java react excel git,Job requires: css pandas sql git data cleaning,46
Resume skills: deep learning pandas html node power bi ml excel sql,Job requires: react numpy css data cleaning aws node javascript machine learning,65
Resume skills: power bi deep learning data analysis html aws css,Job requires: power bi machine learning java deep learning azure html,86
Resume skills: git ml html react docker excel,Job requires: html node java aws docker,80
Resume skills: data analysis git azure deep learning numpy python machine learning aws javascript,Job requires: c++ docker java react css aws node numpy javascript,46
Resume skills: aws java git azure python docker pandas deep learning sql,Job requires: docker data cleaning java python ml javascript css deep learning azure,70
Resume skills: sql data cleaning aws java git pandas deep learning,Job requires: numpy power bi deep learning data analysis react,95
Resume skills: numpy azure react aws git deep learning python machine learning data cleaning java,Job requires: excel css numpy git ml power bi node docker aws,80
Resume skills: css pandas azure react sql data analysis,Job requires: data analysis sql data cleaning pandas java docker,69
Resume skills: pandas data cleaning git ml azure data analysis html numpy,Job requires: numpy deep learning java machine learning ml javascript data cleaning pandas,64
Resume skills: java data analysis numpy azure aws docker,Job requires: python machine learning java numpy node aws data cleaning power bi,80
Resume skills: sql react pandas data analysis python,Job requires: python git power bi c++ deep learning,51
Resume skills: react c++ ml deep learning java css git javascript azure pandas,Job requires: data cleaning deep learning machine learning aws numpy node power bi java sql,72
Resume skills: aws pandas machine learning java python,Job requires: react data analysis excel pandas python deep learning,49
Resume skills: pandas sql html data cleaning c++ react css data analysis java deep learning,Job requires: react c++ node power bi html python css data cleaning deep learning azure,47
Resume skills: c++ aws html data cleaning pandas docker power bi excel git machine learning,Job requires: data analysis css aws javascript data cleaning excel,52
Resume skills: html numpy docker python node c++ java git ml,Job requires: machine learning javascript c++ node data analysis css html python,94
Resume skills: deep learning java ml data analysis power bi c++,Job requires: react deep learning python numpy node c++ pandas sql machine learning,75
Resume skills: data cleaning data analysis power bi css javascript aws pandas,Job requires: power bi excel data analysis javascript pandas,58
Resume skills: excel data cleaning javascript docker java c++ css node power bi,Job requires: ml machine learning docker pandas power bi numpy css react aws data analysis,37
Resume skills: azure data analysis docker react numpy html node,Job requires: ml azure sql pandas deep learning python java numpy html react,45
Resume skills: css javascript deep learning git numpy data cleaning,Job requires: power bi git data cleaning numpy html react sql,37
Resume skills: data cleaning numpy git css deep learning data analysis power bi node,Job requires: git numpy ml python react machine learning sql aws javascript,45
Resume skills: excel data cleaning deep learning aws numpy git sql javascript,Job requires: css ml deep learning react numpy,75
Resume skills: css numpy node sql docker javascript html,Job requires: python ml java react numpy docker azure data cleaning data analysis c++,95
Resume skills: c++ html sql node azure,Job requires: azure react c++ data analysis data cleaning docker node power bi git numpy,66
Resume skills: power bi python azure css deep learning,Job requires: ml sql excel css git azure data analysis power bi data cleaning,79
Resume skills: azure ml pandas css aws react power bi data analysis sql data cleaning,Job requires: data analysis python java git css react azure ml,54
Resume skills: numpy react docker machine learning css c++ node,Job requires: numpy git javascript java aws machine learning docker,56
Resume skills: data analysis numpy deep learning azure html,Job requires: ml aws css data analysis pandas numpy,35
Resume skills: css excel numpy deep learning c++ node pandas,Job requires: power bi azure c++ docker ml machine learning excel java,85
Resume skills: machine learning azure power bi java deep learning css c++ node,Job requires: c++ power bi java excel data analysis,38
Resume skills: numpy sql docker data cleaning java javascript pandas data analysis excel node,Job requires: html machine learning css docker deep learning sql data cleaning azure react git,61
Resume skills: azure pandas power bi react git,Job requires: data analysis excel deep learning aws git data cleaning node azure python,60
Resume skills: python pandas html react git,Job requires: data analysis html git css ml deep learning numpy sql javascript power bi,44
Resume skills: aws docker numpy data analysis pandas java css deep learning,Job requires: deep learning java aws azure python,33
Resume skills: c++ java numpy machine learning javascript,Job requires: data analysis power bi java numpy docker html excel,63
Resume skills: data cleaning deep learning power bi python excel html azure numpy machine learning,Job requires: data cleaning ml java css pandas aws,44
Resume skills: git aws docker html sql power bi python data analysis,Job requires: python pandas ml power bi git react machine learning javascript,35
Resume skills: python java data analysis c++ data cleaning sql css azure,Job requires: sql git deep learning css java numpy aws python machine learning c++,85
Resume skills: pandas javascript css deep learning power bi,Job requires: sql azure pandas python c++,84
Resume skills: javascript aws deep learning react pandas java css data cleaning,Job requires: javascript html python data cleaning pandas power bi java,60
Resume skills: node deep learning c++ java numpy,Job requires: aws numpy data analysis java javascript,36
Resume skills: data cleaning python react node html css c++ numpy machine learning,Job requires: excel data cleaning ml deep learning html power bi aws javascript css react,59
Resume skills: sql react docker data cleaning excel azure numpy deep learning,Job requires: excel deep learning react machine learning pandas numpy,55
Resume skills: html power bi excel deep learning numpy sql,Job requires: data analysis sql deep learning pandas c++ html azure node,86
Resume skills: data analysis git c++ python java docker node,Job requires: c++ numpy aws ml deep learning azure,50
Resume skills: c++ javascript git power bi sql pandas java node machine learning,Job requires: pandas data cleaning docker data analysis node numpy css ml machine learning,48
Resume skills: power bi data cleaning excel git azure javascript python machine learning react c++,Job requires: node power bi css python ml sql deep learning c++,45
Resume skills: azure machine learning ml python excel,Job requires: node power bi excel sql java numpy html aws docker,40
Resume skills: sql machine learning html react node css numpy,Job requires: data cleaning docker azure html python excel data analysis c++ css aws,49
Resume skills: data analysis html power bi data cleaning excel pandas c++ javascript,Job requires: aws git docker excel html,51
Resume skills: javascript node react css java data cleaning,Job requires: java azure machine learning deep learning react data analysis python,81
Resume skills: data analysis python machine learning data cleaning excel css,Job requires: javascript aws data analysis power bi html,67
Resume skills: deep learning data cleaning python docker pandas html css,Job requires: react pandas deep learning css javascript,90
Resume skills: python machine learning pandas html css data analysis node excel git deep learning,Job requires: git machine learning pandas java react node deep learning,50
Resume skills: azure node javascript data cleaning power bi pandas numpy,Job requires: git html pandas data analysis data cleaning,54
Resume skills: ml excel sql docker css azure git html,Job requires: deep learning java css data cleaning numpy,34
Resume skills: machine learning git aws pandas excel,Job requires: sql git python javascript power bi excel react machine learning c++ azure,39
Resume skills: python excel power bi git azure numpy aws machine learning html,Job requires: javascript machine learning html react java numpy sql node data analysis docker,91
Resume skills: excel python deep learning java data analysis azure power bi,Job requires: excel numpy sql react javascript machine learning,90
Resume skills: javascript react data analysis docker css excel deep learning java,Job requires: java deep learning react python data analysis c++ data cleaning aws,43
Resume skills: machine learning python css docker azure react data cleaning pandas excel,Job requires: deep learning java react aws pandas sql,57
Resume skills: numpy azure java c++ aws deep learning git,Job requires: docker machine learning css python excel git html,91
Resume skills: node power bi css sql html excel c++ docker deep learning java,Job requires: java react html sql excel power bi,35
Resume skills: git pandas java aws c++ docker sql,Job requires: ml sql machine learning power bi data cleaning aws node c++ deep learning css,60
Resume skills: numpy node data analysis deep learning machine learning power bi,Job requires: ml docker css machine learning data cleaning java power bi,32
Resume skills: java docker machine learning aws pandas data cleaning power bi sql,Job requires: excel c++ power bi node deep learning machine learning css python html,91
Resume skills: sql numpy aws excel python git,Job requires: deep learning pandas data analysis docker html react ml git,31
Resume skills: react javascript c++ sql aws git machine learning azure data analysis,Job requires: react numpy docker c++ node sql,78
Resume skills: css pandas power bi ml react javascript html data cleaning java git,Job requires: data cleaning excel power bi python git node javascript,51
Resume skills: node data cleaning machine learning python aws power bi pandas ml react javascript,Job requires: css ml git sql azure data cleaning c++ java,38
Resume skills: excel aws react deep learning html,Job requires: html numpy excel c++ power bi docker azure machine learning react,65
Resume skills: sql numpy react node aws data analysis html python,Job requires: power bi html java javascript azure,73
Resume skills: git excel azure python javascript node,Job requires: html azure numpy deep learning pandas,79
Resume skills: aws deep learning css sql machine learning azure pandas python c++ react,Job requires: deep learning data cleaning numpy sql data analysis git excel docker,45
Resume skills: power bi python sql data analysis node,Job requires: html numpy ml react deep learning azure aws java,54
Resume skills: azure aws javascript docker node numpy,Job requires: c++ azure ml docker excel sql aws javascript,51
Resume skills: docker css c++ sql excel ml java azure machine learning,Job requires: sql node javascript python git machine learning react azure numpy,55
Resume skills: java c++ power bi data cleaning numpy data analysis,Job requires: css node javascript pandas power bi java c++ html data cleaning,56
Resume skills: java machine learning node git ml sql,Job requires: aws sql machine learning docker power bi azure pandas,61
Resume skills: javascript java pandas machine learning node,Job requires: power bi react data cleaning node python ml c++ numpy,38
Resume skills: docker git excel data cleaning machine learning numpy aws css node,Job requires: html data analysis numpy aws azure pandas excel,72
Resume skills: docker java node ml data analysis deep learning excel power bi pandas azure,Job requires: ml pandas javascript machine learning python deep learning git numpy docker power bi,45
Resume skills: power bi git javascript node java css html,Job requires: sql java javascript css pandas data cleaning html excel,75
Resume skills: html aws sql numpy react c++,Job requires: git react javascript data analysis aws,59
Resume skills: data cleaning power bi azure html docker,Job requires: html machine learning data analysis c++ css,87
Resume skills: azure node html aws deep learning c++ git excel machine learning javascript,Job requires: data cleaning data analysis aws machine learning deep learning node html excel javascript,47
Resume skills: html java ml data cleaning pandas numpy deep learning machine learning sql,Job requires: ml git data cleaning docker c++,83
Resume skills: data cleaning c++ numpy pandas sql,Job requires: node java excel html css python,40
Resume skills: javascript node html excel pandas,Job requires: power bi css data cleaning deep learning node python ml machine learning pandas,81
Resume skills: docker c++ aws react css data cleaning power bi,Job requires: c++ excel react html javascript numpy data analysis,54
Resume skills: aws numpy data cleaning react machine learning git,Job requires: azure pandas numpy html git python deep learning,54
Resume skills: data cleaning java aws python docker html excel,Job requires: javascript sql c++ css deep learning aws machine learning,54
Resume skills: python aws git docker deep learning numpy azure,Job requires: python c++ html css docker,86
Resume skills: pandas ml power bi node html aws css,Job requires: sql numpy git java c++ excel,54
Resume skills: javascript python react data cleaning sql machine learning numpy,Job requires: docker numpy python react javascript data cleaning power bi,92
Resume skills: ml java docker react excel data cleaning python power bi pandas,Job requires: azure machine learning ml excel deep learning data analysis java,82
Resume skills: machine learning git docker numpy deep learning data cleaning javascript,Job requires: javascript java c++ css azure aws data analysis,54
Resume skills: numpy html c++ deep learning power bi ml azure react machine learning data analysis,Job requires: pandas c++ python numpy machine learning aws node excel,83
Resume skills: c++ machine learning java azure html docker javascript git aws sql,Job requires: python java aws pandas azure power bi ml node machine learning javascript,85
Resume skills: machine learning git data analysis power bi html javascript python ml,Job requires: javascript css pandas python power bi docker excel data analysis,75
Resume skills: sql node html css data cleaning,Job requires: git machine learning power bi excel java pandas azure numpy,36
Resume skills: css ml git numpy docker sql,Job requires: excel docker c++ machine learning css git data cleaning,53
Resume skills: machine learning deep learning css azure ml git numpy data cleaning react excel,Job requires: excel html data cleaning data analysis node azure pandas,46
Resume skills: pandas data cleaning power bi java ml git deep learning,Job requires: data analysis power bi docker javascript react python excel java machine learning,62
Resume skills: node c++ docker azure java,Job requires: java deep learning javascript react git css azure,55
Resume skills: docker numpy git java data cleaning html,Job requires: node git html excel c++ python machine learning sql aws react,65
Resume skills: python data cleaning machine learning sql power bi react,Job requires: sql excel react machine learning pandas deep learning data cleaning numpy node html,34
Resume skills: sql git power bi aws react docker data cleaning,Job requires: data cleaning power bi azure data analysis sql python ml excel deep learning git,38
Resume skills: css numpy node docker react java,Job requires: python machine learning c++ ml java azure sql html excel,31
Resume skills: javascript deep learning azure aws react java,Job requires: deep learning docker power bi node machine learning excel java c++ aws,30
Resume skills: numpy deep learning azure sql c++ machine learning pandas node java data cleaning,Job requires: deep learning c++ ml power bi docker css data cleaning html,77
Resume skills: sql ml docker git numpy node c++,Job requires: aws data cleaning sql docker azure machine learning css numpy deep learning,84
Resume skills: machine learning data analysis pandas azure git power bi docker java html,Job requires: data analysis node numpy javascript power bi,42
Resume skills: html numpy react data cleaning machine learning,Job requires: excel docker pandas html git,32
Resume skills: python data cleaning c++ node css deep learning azure javascript,Job requires: data analysis docker numpy deep learning c++,69
Resume skills: react numpy git c++ data cleaning javascript java,Job requires: react html azure docker node numpy pandas data analysis sql,48
Resume skills: ml azure docker numpy data analysis python,Job requires: git pandas numpy node machine learning data cleaning excel c++,68
Resume skills: numpy azure java excel ml css machine learning pandas,Job requires: node numpy sql html data cleaning excel pandas git,93
Resume skills: ml numpy html docker node azure deep learning java,Job requires: git sql javascript docker data cleaning java,47
Resume skills: aws javascript c++ numpy python azure react deep learning,Job requires: c++ css javascript python docker data analysis power bi,30
Resume skills: data cleaning docker java node c++ azure deep learning git data analysis javascript,Job requires: numpy c++ java node power bi deep learning docker css,57
Resume skills: css react html ml java,Job requires: pandas css python html machine learning docker git javascript,79
Resume skills: aws docker power bi excel html data cleaning ml machine learning,Job requires: java numpy html excel python power bi,62
Resume skills: azure ml power bi excel numpy pandas javascript java python,Job requires: python c++ java react azure pandas power bi,51
Resume skills: python pandas azure ml numpy power bi java data analysis,Job requires: html ml excel css azure machine learning data cleaning git,50
Resume skills: ml html c++ data cleaning sql pandas power bi deep learning machine learning javascript,Job requires: azure machine learning pandas numpy css node c++ java sql,58
Resume skills: machine learning azure power bi deep learning sql c++ excel data cleaning,Job requires: power bi ml java data analysis data cleaning git node javascript deep learning,62
Resume skills: python html power bi pandas git c++ excel data analysis react ml,Job requires: css docker java deep learning c++ power bi,58
Resume skills: aws data cleaning html css java react python azure node,Job requires: react power bi aws c++ css azure data analysis deep learning,93
Resume skills: git aws python react data analysis excel machine learning azure c++,Job requires: data analysis numpy machine learning docker java pandas deep learning ml power bi,56
Resume skills: power bi docker git pandas javascript c++ python,Job requires: docker aws node pandas ml excel python css sql,70
Resume skills: aws css data analysis pandas numpy power bi,Job requires: c++ deep learning java react power bi machine learning html data cleaning git,62
Resume skills: python docker javascript html data cleaning node java excel git numpy,Job requires: data cleaning pandas ml numpy azure machine learning sql,84
Resume skills: numpy css python docker power bi sql excel,Job requires: sql react numpy c++ data cleaning deep learning,37
Resume skills: machine learning data analysis html docker ml node git python azure,Job requires: machine learning c++ pandas java python azure,82
Resume skills: deep learning python sql azure numpy css excel,Job requires: c++ machine learning java pandas node html power bi,37
Resume skills: data analysis javascript power bi react machine learning git aws java deep learning html,Job requires: machine learning excel data analysis node javascript html,82
Resume skills: docker sql node data analysis machine learning,Job requires: ml aws deep learning java pandas c++ docker numpy power bi,59
Resume skills: c++ power bi javascript css ml data cleaning html,Job requires: data analysis machine learning python azure numpy,61
Resume skills: azure machine learning pandas javascript css html sql data analysis python git,Job requires: deep learning sql html numpy power bi data analysis java data cleaning react python,49
Resume skills: deep learning docker data analysis java excel,Job requires: ml java azure javascript python,91
Resume skills: javascript power bi pandas react git,Job requires: react javascript git sql ml java node docker,59
Resume skills: pandas machine learning deep learning react sql aws,Job requires: css aws azure excel ml numpy pandas node,78
Resume skills: python c++ deep learning react numpy pandas docker javascript,Job requires: python javascript html aws machine learning data cleaning pandas node css java,63
Resume skills: html machine learning numpy node sql ml,Job requires: ml deep learning python css numpy,60
Resume skills: power bi ml c++ html javascript python node,Job requires: machine learning react pandas aws c++ excel node python docker javascript,72
Resume skills: c++ excel sql machine learning html python power bi data analysis numpy java,Job requires: machine learning javascript python docker ml aws node sql,61
Resume skills: git data cleaning excel data analysis aws java python,Job requires: data analysis python html power bi node azure java ml,63
Resume skills: data analysis numpy git sql css power bi c++ node,Job requires: react css node python ml sql numpy,40
Resume skills: javascript aws java deep learning python excel,Job requires: aws data cleaning machine learning html azure excel,35
Resume skills: data cleaning html numpy deep learning javascript c++ pandas machine learning css node,Job requires: html data cleaning power bi c++ aws node excel ml,46
Resume skills: data cleaning numpy javascript deep learning c++ react data analysis,Job requires: pandas javascript react azure css numpy power bi c++,51
Resume skills: java excel git data cleaning javascript machine learning azure,Job requires: c++ pandas html sql react aws ml excel docker,95
Resume skills: node power bi machine learning c++ azure html pandas,Job requires: javascript pandas sql power bi react data analysis,74
Resume skills: java node css azure pandas numpy,Job requires: javascript c++ git aws data analysis ml power bi docker,77
Resume skills: sql c++ html data cleaning numpy java python ml,Job requires: c++ power bi css numpy git java ml,75
Resume skills: sql aws machine learning docker excel data cleaning,Job requires: aws ml excel pandas docker data cleaning react javascript azure,37
Resume skills: data cleaning react deep learning power bi numpy sql,Job requires: python pandas css java deep learning,66
Resume skills: git python html sql pandas node aws power bi excel,Job requires: numpy react html css machine learning aws python docker ml git,35
Resume skills: azure javascript data cleaning java pandas numpy css power bi data analysis,Job requires: c++ docker deep learning azure data analysis react node javascript aws,83
Resume skills: html pandas excel c++ numpy azure machine learning git python,Job requires: data cleaning numpy c++ deep learning css sql javascript html,78
Resume skills: deep learning power bi numpy aws sql data cleaning node ml,Job requires: html node python git aws sql data cleaning pandas,58
Resume skills: git python css azure aws node c++,Job requires: docker deep learning react javascript java ml python aws,83
Resume skills: machine learning deep learning python aws javascript,Job requires: numpy css git azure node power bi sql javascript ml,39
Resume skills: c++ react docker java css python javascript azure node,Job requires: python aws html data analysis ml numpy,65
Resume skills: aws sql excel deep learning data cleaning,Job requires: python aws docker pandas ml data cleaning css power bi sql,76
Resume skills: excel numpy html css git java c++,Job requires: sql docker python pandas node,60
Resume skills: c++ html aws numpy docker data cleaning python,Job requires: java c++ python machine learning sql css node,57
Resume skills: azure html aws java power bi numpy,Job requires: numpy react node excel c++ machine learning sql pandas,94
Resume skills: data analysis node excel python azure docker,Job requires: javascript docker excel react machine learning css ml,44
Resume skills: numpy data analysis pandas python machine learning deep learning,Job requires: ml aws data analysis numpy python deep learning,87
Resume skills: aws data analysis python azure css,Job requires: pandas git javascript data analysis docker,63
Resume skills: azure machine learning python css ml,Job requires: sql machine learning aws azure data cleaning docker javascript,93
Resume skills: css c++ ml java python aws,Job requires: deep learning azure html data analysis excel aws css,64
Resume skills: data analysis node html git javascript java css,Job requires: sql ml css excel python javascript numpy,45
Resume skills: pandas machine learning react html css excel data cleaning,Job requires: node react html machine learning power bi numpy,50
Resume skills: data analysis python power bi react git docker,Job requires: excel ml html sql power bi azure deep learning git,61
Resume skills: react aws azure c++ excel,Job requires: aws power bi docker ml excel c++ node python pandas git,59
Resume skills: docker react power bi java sql python azure deep learning aws,Job requires: css ml data analysis docker machine learning,49
Resume skills: excel sql ml pandas data analysis css,Job requires: c++ git node ml java,54
Resume skills: pandas docker css data analysis java data cleaning azure power bi git,Job requires: azure c++ git sql javascript data analysis,34
Resume skills: data cleaning machine learning java docker javascript ml,Job requires: deep learning docker azure ml machine learning node python,66
Resume skills: ml data cleaning machine learning deep learning node azure data analysis java numpy excel,Job requires: git react power bi node azure,55
Resume skills: python javascript azure docker aws,Job requires: data cleaning docker data analysis numpy machine learning,57
Resume skills: react numpy python ml html css,Job requires: aws git css numpy excel c++ azure javascript power bi data cleaning,47
Resume skills: java data cleaning ml pandas python node git,Job requires: machine learning azure power bi docker data analysis data cleaning c++ sql,84
Resume skills: data cleaning azure pandas c++ css javascript numpy git machine learning,Job requires: node javascript java ml excel data analysis pandas docker azure deep learning,51
Resume skills: numpy excel docker java power bi node,Job requires: pandas machine learning node power bi c++ python react ml javascript,70
Resume skills: data analysis react html numpy sql,Job requires: azure html excel java node,76
Resume skills: machine learning python aws power bi numpy,Job requires: python git azure react excel power bi machine learning ml sql pandas,44
Resume skills: node pandas data analysis react docker java azure,Job requires: azure numpy node aws docker data analysis git sql python pandas,41
Resume skills: sql python pandas machine learning excel javascript java css power bi ml,Job requires: numpy data cleaning python c++ data analysis sql html deep learning git power bi,46
Resume skills: data cleaning excel machine learning c++ node azure,Job requires: react data analysis ml css excel power bi,90
